m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	519.02    	27.78    	491.25     	76.29      	1.000        	0.000       
06     	582.40    	29.90    	552.51     	92.33      	1.000        	0.000       
07     	502.71    	32.03    	470.68     	75.25      	1.000        	0.000       
08     	495.01    	34.02    	460.99     	74.39      	1.000        	0.000       
09     	479.94    	35.84    	444.10     	72.37      	1.000        	0.000       
10     	559.53    	37.53    	522.00     	92.97      	1.000        	0.000       
11     	476.78    	38.80    	437.98     	73.86      	1.000        	0.000       
12     	897.00    	40.94    	856.05     	167.32     	1.000        	0.000       
13     	1058.24   	42.44    	1015.79    	212.40     	0.990        	0.010       
14     	1306.92   	43.79    	1263.13    	260.11     	0.940        	0.010       
15     	2286.25   	45.86    	2240.39    	465.69     	0.940        	0.030       
16     	2425.84   	46.52    	2379.32    	502.47     	0.930        	0.030       
17     	4449.84   	47.55    	4402.29    	907.75     	0.870        	0.060       
18     	5500.22   	49.02    	5451.21    	1126.41    	0.860        	0.070       
19     	2802.48   	49.95    	2752.53    	558.31     	0.870        	0.020       
20     	1802.27   	50.72    	1751.56    	358.05     	0.810        	0.010       
21     	2818.81   	51.54    	2767.27    	553.06     	0.670        	0.020       
22     	1293.58   	52.05    	1241.54    	253.56     	0.560        	0.000       
23     	503.08    	51.70    	451.38     	87.67      	0.520        	0.000       
24     	394.42    	52.14    	342.28     	64.50      	0.420        	0.000       
25     	261.36    	52.29    	209.07     	37.91      	0.270        	0.000       
26     	235.78    	52.26    	183.52     	34.11      	0.250        	0.000       
27     	124.63    	49.91    	74.72      	14.22      	0.110        	0.000       
28     	101.23    	50.27    	50.96      	9.93       	0.080        	0.000       
29     	61.87     	48.42    	13.45      	2.48       	0.020        	0.000       
30     	70.25     	48.68    	21.57      	4.46       	0.030        	0.000       
31     	49.25     	46.86    	2.40       	0.53       	0.010        	0.000       
32     	51.77     	45.95    	5.82       	1.27       	0.020        	0.000       
33     	44.72     	44.72    	0.00       	0.00       	0.000        	0.000       
34     	45.48     	45.48    	0.00       	0.00       	0.000        	0.000       
35     	46.57     	44.53    	2.04       	0.46       	0.010        	0.000       
40     	42.38     	42.38    	0.00       	0.00       	0.000        	0.000       
45     	39.03     	39.03    	0.00       	0.00       	0.000        	0.000       
50     	36.29     	36.29    	0.00       	0.00       	0.000        	0.000       
55     	34.16     	34.16    	0.00       	0.00       	0.000        	0.000       
60     	31.21     	31.21    	0.00       	0.00       	0.000        	0.000       
