m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	2329.36   	0.35     	2329.01    	10541.64   	0.971        	0.029       
06     	3396.17   	0.35     	3395.82    	14684.13   	0.959        	0.041       
07     	4741.47   	0.36     	4741.11    	20643.64   	0.940        	0.060       
08     	6474.91   	0.36     	6474.55    	28588.43   	0.923        	0.077       
09     	7982.96   	0.39     	7982.58    	33624.95   	0.907        	0.093       
10     	9270.08   	0.39     	9269.69    	38693.51   	0.890        	0.110       
11     	10521.88  	0.41     	10521.48   	44517.56   	0.877        	0.123       
12     	13219.71  	0.39     	13219.32   	54647.56   	0.839        	0.161       
13     	15055.40  	0.35     	15055.05   	65463.70   	0.807        	0.193       
14     	18251.24  	0.35     	18250.88   	78085.35   	0.759        	0.241       
15     	20507.11  	0.37     	20506.74   	87712.37   	0.728        	0.272       
16     	24965.02  	0.37     	24964.65   	103543.91  	0.654        	0.344       
17     	27196.59  	0.37     	27196.22   	116236.88  	0.622        	0.378       
18     	29470.06  	0.36     	29469.70   	124825.07  	0.583        	0.416       
19     	32392.73  	0.40     	32392.33   	130946.96  	0.531        	0.463       
20     	35232.86  	0.37     	35232.49   	143753.77  	0.486        	0.512       
21     	38224.87  	0.37     	38224.50   	156457.87  	0.412        	0.560       
22     	39966.20  	0.42     	39965.77   	162347.88  	0.379        	0.583       
23     	40846.87  	0.36     	40846.51   	166191.47  	0.359        	0.591       
24     	42061.69  	0.37     	42061.33   	166918.87  	0.283        	0.618       
25     	40884.31  	0.35     	40883.95   	161643.12  	0.234        	0.556       
26     	36816.38  	0.36     	36816.02   	142877.97  	0.166        	0.472       
27     	31981.36  	0.37     	31980.99   	119009.84  	0.095        	0.364       
28     	23586.79  	0.35     	23586.44   	89434.25   	0.067        	0.233       
29     	16625.26  	0.35     	16624.91   	59248.14   	0.044        	0.130       
30     	9887.71   	0.37     	9887.34    	34119.89   	0.020        	0.054       
31     	6647.65   	0.38     	6647.27    	21787.10   	0.014        	0.026       
32     	4159.73   	0.41     	4159.31    	12979.66   	0.004        	0.011       
33     	2434.98   	0.42     	2434.57    	7354.60    	0.001        	0.002       
34     	1468.55   	0.48     	1468.07    	4284.62    	0.000        	0.002       
35     	987.44    	0.58     	986.86     	2766.00    	0.003        	0.001       
40     	160.02    	0.57     	159.44     	384.18     	0.000        	0.000       
45     	33.95     	0.53     	33.43      	81.46      	0.000        	0.000       
50     	12.17     	0.56     	11.62      	26.75      	0.000        	0.000       
55     	5.20      	0.63     	4.56       	9.85       	0.000        	0.000       
60     	2.88      	0.56     	2.32       	4.46       	0.000        	0.000       
65     	2.02      	0.64     	1.38       	2.49       	0.000        	0.000       
