m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	192.89    	10.71    	182.18     	1950.74    	1.000        	0.000       
06     	1017.19   	2.77     	1014.42    	10246.09   	0.990        	0.010       
07     	128.81    	2.77     	126.04     	1315.29    	1.000        	0.000       
08     	1873.13   	2.76     	1870.37    	19034.95   	0.980        	0.020       
09     	1483.39   	2.78     	1480.61    	15410.61   	0.980        	0.020       
10     	3184.61   	2.76     	3181.85    	32278.35   	0.970        	0.030       
11     	3924.86   	2.76     	3922.10    	41117.79   	0.940        	0.060       
12     	3054.42   	3.21     	3051.21    	31416.73   	0.970        	0.030       
13     	1607.58   	2.80     	1604.78    	16560.10   	0.990        	0.010       
14     	7821.83   	0.69     	7821.14    	82357.73   	0.880        	0.110       
15     	10769.32  	0.37     	10768.95   	111309.93  	0.860        	0.140       
16     	11532.67  	0.37     	11532.31   	122448.04  	0.810        	0.180       
17     	11250.04  	0.38     	11249.66   	115235.76  	0.820        	0.160       
18     	11645.05  	0.39     	11644.66   	121176.60  	0.790        	0.180       
19     	13451.97  	0.41     	13451.56   	140510.70  	0.770        	0.200       
20     	11353.66  	0.36     	11353.30   	121316.89  	0.760        	0.150       
21     	19978.04  	0.37     	19977.67   	213775.14  	0.580        	0.300       
22     	18888.93  	0.37     	18888.56   	200131.61  	0.520        	0.270       
23     	17541.62  	0.36     	17541.26   	189449.13  	0.500        	0.170       
24     	16167.68  	0.36     	16167.32   	176447.08  	0.390        	0.140       
25     	11182.59  	0.36     	11182.23   	121819.99  	0.270        	0.090       
26     	8948.32   	0.37     	8947.96    	97629.20   	0.250        	0.090       
27     	3732.59   	0.36     	3732.23    	41399.91   	0.110        	0.010       
28     	2502.42   	0.35     	2502.06    	27582.50   	0.080        	0.010       
29     	917.36    	0.35     	917.01     	10212.92   	0.020        	0.000       
30     	615.02    	0.35     	614.68     	6782.94    	0.030        	0.000       
31     	512.35    	0.35     	512.00     	5842.49    	0.010        	0.000       
32     	86.17     	0.35     	85.82      	975.84     	0.020        	0.000       
33     	232.32    	0.35     	231.97     	2621.52    	0.000        	0.000       
34     	29.94     	0.35     	29.59      	339.54     	0.000        	0.000       
35     	23.33     	0.35     	22.99      	266.00     	0.010        	0.000       
40     	1.66      	0.37     	1.29       	14.22      	0.000        	0.000       
45     	1.09      	0.34     	0.75       	7.96       	0.000        	0.000       
50     	0.81      	0.36     	0.45       	4.26       	0.000        	0.000       
55     	0.62      	0.37     	0.25       	1.90       	0.000        	0.000       
60     	0.57      	0.37     	0.20       	1.20       	0.000        	0.000       
