m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	128.48    	0.55     	127.93     	1476.89    	0.999        	0.001       
06     	243.61    	0.34     	243.27     	2700.81    	0.998        	0.002       
07     	650.99    	0.36     	650.62     	6673.43    	0.993        	0.007       
08     	806.38    	0.43     	805.95     	8456.38    	0.990        	0.010       
09     	1344.06   	0.37     	1343.69    	13925.05   	0.984        	0.016       
10     	2527.62   	0.35     	2527.27    	27250.91   	0.968        	0.032       
11     	3529.22   	0.34     	3528.88    	38729.96   	0.954        	0.046       
12     	4261.77   	0.39     	4261.39    	44789.90   	0.941        	0.057       
13     	4511.63   	0.41     	4511.21    	45119.44   	0.938        	0.059       
14     	6644.34   	2.11     	6642.22    	69983.20   	0.902        	0.090       
15     	9135.63   	1.71     	9133.92    	95350.81   	0.867        	0.126       
16     	11071.33  	1.71     	11069.62   	114651.20  	0.821        	0.158       
17     	12409.83  	1.71     	12408.12   	127680.90  	0.802        	0.174       
18     	14957.05  	1.56     	14955.49   	150035.26  	0.750        	0.206       
19     	17264.69  	0.70     	17263.99   	172104.89  	0.701        	0.241       
20     	18417.97  	1.11     	18416.86   	173377.62  	0.656        	0.260       
21     	20452.03  	1.99     	20450.04   	193307.14  	0.589        	0.283       
22     	20884.62  	2.04     	20882.58   	200486.36  	0.531        	0.294       
23     	20791.58  	0.88     	20790.70   	190906.90  	0.475        	0.273       
24     	17926.96  	0.36     	17926.60   	165861.12  	0.396        	0.196       
25     	13950.73  	0.36     	13950.38   	127377.86  	0.300        	0.140       
26     	9737.24   	0.36     	9736.88    	87368.25   	0.197        	0.068       
27     	7560.89   	0.35     	7560.54    	67637.87   	0.109        	0.050       
28     	4281.67   	0.35     	4281.32    	38025.35   	0.072        	0.015       
29     	1938.92   	0.35     	1938.57    	17054.98   	0.046        	0.007       
30     	853.86    	0.35     	853.51     	7342.07    	0.020        	0.000       
31     	426.49    	0.34     	426.15     	3627.02    	0.014        	0.000       
32     	242.10    	0.34     	241.75     	2041.31    	0.004        	0.000       
33     	128.64    	0.34     	128.29     	1046.23    	0.001        	0.000       
34     	85.77     	0.34     	85.43      	690.20     	0.000        	0.000       
35     	46.62     	0.34     	46.28      	363.14     	0.003        	0.000       
40     	6.36      	0.33     	6.02       	42.48      	0.000        	0.000       
45     	2.17      	0.33     	1.84       	11.38      	0.000        	0.000       
50     	1.18      	0.33     	0.84       	4.48       	0.000        	0.000       
55     	0.81      	0.33     	0.48       	2.13       	0.000        	0.000       
60     	0.67      	0.34     	0.33       	1.22       	0.000        	0.000       
65     	0.61      	0.34     	0.27       	0.86       	0.000        	0.000       
