m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	2686.53   	1.13     	2685.40    	13884.40   	0.960        	0.040       
06     	8931.22   	1.12     	8930.09    	45042.45   	0.860        	0.140       
07     	5558.44   	1.13     	5557.31    	26801.06   	0.940        	0.060       
08     	4850.97   	1.13     	4849.84    	23905.55   	0.940        	0.060       
09     	9261.04   	1.13     	9259.92    	43910.36   	0.890        	0.110       
10     	9050.83   	1.13     	9049.70    	41580.50   	0.880        	0.120       
11     	9160.23   	1.13     	9159.11    	41670.20   	0.880        	0.120       
12     	12726.94  	1.13     	12725.81   	57089.76   	0.820        	0.180       
13     	17778.49  	1.12     	17777.36   	79379.72   	0.760        	0.240       
14     	15669.84  	1.71     	15668.13   	66542.88   	0.790        	0.210       
15     	19874.67  	2.20     	19872.47   	85935.53   	0.740        	0.250       
16     	22154.35  	2.19     	22152.16   	90997.63   	0.690        	0.310       
17     	30549.59  	1.54     	30548.04   	117634.32  	0.550        	0.410       
