m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	188.93    	77.56    	111.37     	221.42     	1.000        	0.000       
06     	168.26    	85.96    	82.31      	151.24     	1.000        	0.000       
07     	898.44    	89.94    	808.50     	2187.84    	0.990        	0.010       
08     	178.79    	95.36    	83.44      	163.40     	1.000        	0.000       
09     	213.84    	100.38   	113.46     	261.95     	1.000        	0.000       
10     	2400.76   	106.00   	2294.76    	6648.18    	0.970        	0.030       
11     	206.76    	110.82   	95.94      	215.82     	1.000        	0.000       
12     	271.74    	115.80   	155.94     	398.57     	1.000        	0.000       
13     	2590.95   	121.00   	2469.95    	7351.59    	0.960        	0.040       
14     	1543.25   	125.39   	1417.86    	3715.41    	0.980        	0.020       
15     	906.66    	129.06   	777.60     	2056.93    	0.990        	0.010       
16     	3668.97   	133.22   	3535.75    	10368.38   	0.950        	0.050       
17     	3824.51   	139.07   	3685.44    	9727.39    	0.940        	0.060       
18     	3564.04   	142.94   	3421.10    	10181.75   	0.950        	0.050       
19     	3226.83   	147.27   	3079.56    	9580.47    	0.950        	0.050       
20     	4820.36   	151.09   	4669.27    	12391.47   	0.930        	0.070       
21     	5018.60   	154.75   	4863.85    	13354.49   	0.930        	0.070       
22     	4574.80   	158.05   	4416.76    	12787.53   	0.930        	0.070       
23     	4940.14   	161.66   	4778.48    	13353.76   	0.930        	0.070       
24     	2648.50   	165.86   	2482.64    	6802.52    	0.960        	0.040       
25     	7234.10   	168.54   	7065.55    	19224.05   	0.880        	0.110       
26     	11540.35  	171.53   	11368.82   	31084.73   	0.810        	0.180       
27     	4470.95   	174.86   	4296.09    	11286.68   	0.940        	0.060       
28     	7279.15   	178.18   	7100.97    	19553.87   	0.890        	0.110       
29     	8386.29   	180.50   	8205.79    	21330.65   	0.860        	0.120       
30     	8736.60   	183.58   	8553.02    	22923.77   	0.850        	0.140       
31     	8904.24   	186.37   	8717.87    	22494.68   	0.840        	0.130       
32     	10054.23  	188.57   	9865.65    	25916.55   	0.820        	0.140       
33     	12897.71  	191.18   	12706.54   	33743.46   	0.760        	0.190       
34     	10879.15  	193.81   	10685.34   	27101.20   	0.780        	0.160       
35     	10225.52  	195.56   	10029.96   	24431.95   	0.770        	0.160       
36     	21180.09  	196.39   	20983.69   	50007.25   	0.610        	0.320       
37     	15929.40  	198.58   	15730.82   	36680.45   	0.620        	0.230       
38     	18920.78  	201.57   	18719.21   	44323.88   	0.590        	0.300       
39     	15141.12  	202.28   	14938.84   	34080.10   	0.630        	0.220       
40     	18339.20  	202.49   	18136.71   	42176.30   	0.590        	0.260       
41     	15715.95  	205.41   	15510.54   	33939.96   	0.600        	0.230       
42     	18915.97  	204.48   	18711.50   	41435.77   	0.430        	0.270       
43     	20333.51  	207.91   	20125.61   	44521.68   	0.520        	0.280       
44     	14000.98  	204.61   	13796.38   	30082.57   	0.380        	0.150       
45     	14235.78  	202.09   	14033.69   	29954.54   	0.330        	0.180       
46     	11429.69  	199.12   	11230.57   	22722.25   	0.270        	0.160       
47     	7218.09   	202.71   	7015.38    	13993.22   	0.240        	0.070       
48     	5339.79   	203.36   	5136.42    	9876.65    	0.140        	0.050       
49     	4454.08   	203.45   	4250.63    	8013.84    	0.180        	0.020       
50     	2007.91   	200.73   	1807.18    	3476.46    	0.110        	0.010       
51     	862.69    	199.37   	663.33     	1327.37    	0.060        	0.000       
52     	512.35    	192.17   	320.18     	608.29     	0.030        	0.000       
53     	287.85    	189.94   	97.91      	196.33     	0.020        	0.000       
54     	278.18    	187.73   	90.45      	173.67     	0.010        	0.000       
55     	230.08    	188.73   	41.35      	69.55      	0.000        	0.000       
56     	199.08    	185.72   	13.37      	24.85      	0.000        	0.000       
57     	184.39    	182.56   	1.83       	2.91       	0.000        	0.000       
58     	184.29    	181.51   	2.79       	5.00       	0.000        	0.000       
59     	176.90    	176.90   	0.00       	0.00       	0.000        	0.000       
60     	176.99    	176.99   	0.00       	0.00       	0.000        	0.000       
61     	179.06    	177.22   	1.84       	3.28       	0.000        	0.000       
62     	178.37    	178.37   	0.00       	0.00       	0.000        	0.000       
63     	172.66    	172.66   	0.00       	0.00       	0.000        	0.000       
64     	171.62    	171.62   	0.00       	0.00       	0.000        	0.000       
65     	171.34    	171.34   	0.00       	0.00       	0.000        	0.000       
66     	169.09    	169.09   	0.00       	0.00       	0.000        	0.000       
67     	168.15    	168.15   	0.00       	0.00       	0.000        	0.000       
68     	164.98    	164.98   	0.00       	0.00       	0.000        	0.000       
69     	162.65    	162.65   	0.00       	0.00       	0.000        	0.000       
70     	162.73    	162.73   	0.00       	0.00       	0.000        	0.000       
71     	162.02    	162.02   	0.00       	0.00       	0.000        	0.000       
72     	160.10    	160.10   	0.00       	0.00       	0.000        	0.000       
73     	157.66    	157.66   	0.00       	0.00       	0.000        	0.000       
74     	154.57    	154.57   	0.00       	0.00       	0.000        	0.000       
75     	153.50    	153.49   	0.00       	0.00       	0.000        	0.000       
76     	154.97    	154.97   	0.00       	0.00       	0.000        	0.000       
77     	154.30    	154.30   	0.00       	0.00       	0.000        	0.000       
78     	150.86    	150.86   	0.00       	0.00       	0.000        	0.000       
79     	155.16    	155.16   	0.00       	0.00       	0.000        	0.000       
80     	153.19    	153.19   	0.00       	0.00       	0.000        	0.000       
85     	142.37    	142.37   	0.00       	0.00       	0.000        	0.000       
90     	137.96    	137.96   	0.00       	0.00       	0.000        	0.000       
95     	130.69    	130.69   	0.00       	0.00       	0.000        	0.000       
