m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	249.23    	0.41     	248.81     	2465.29    	0.997        	0.003       
06     	349.96    	0.35     	349.62     	3571.59    	0.997        	0.003       
07     	745.40    	0.36     	745.04     	7479.35    	0.991        	0.009       
08     	1076.62   	0.35     	1076.27    	10732.78   	0.989        	0.010       
09     	1239.44   	1.22     	1238.23    	12589.52   	0.986        	0.014       
10     	2157.14   	3.78     	2153.36    	21172.76   	0.975        	0.025       
11     	3766.28   	4.07     	3762.20    	35937.63   	0.949        	0.051       
12     	4033.43   	3.41     	4030.02    	39649.17   	0.942        	0.056       
13     	3756.99   	2.70     	3754.28    	37853.55   	0.954        	0.041       
14     	6365.87   	2.29     	6363.58    	64999.90   	0.905        	0.087       
15     	8627.33   	2.32     	8625.01    	88300.50   	0.877        	0.116       
16     	9391.89   	2.32     	9389.57    	96405.67   	0.849        	0.130       
17     	11358.26  	3.15     	11355.11   	112744.11  	0.821        	0.154       
18     	14026.55  	3.51     	14023.04   	140514.61  	0.766        	0.189       
19     	15426.33  	2.54     	15423.79   	157616.25  	0.725        	0.214       
20     	16559.69  	1.99     	16557.70   	170682.51  	0.677        	0.226       
21     	17777.22  	1.31     	17775.90   	183825.03  	0.620        	0.236       
22     	17735.72  	1.17     	17734.55   	183821.92  	0.544        	0.239       
23     	16841.80  	1.17     	16840.64   	174580.79  	0.490        	0.207       
24     	13952.31  	1.76     	13950.56   	145359.77  	0.398        	0.148       
25     	11076.68  	2.70     	11073.98   	112652.01  	0.300        	0.102       
26     	7676.68   	3.26     	7673.43    	76298.88   	0.197        	0.055       
27     	5473.48   	1.60     	5471.88    	55393.48   	0.109        	0.036       
28     	3169.28   	2.81     	3166.47    	32960.64   	0.072        	0.012       
29     	1419.56   	2.69     	1416.87    	14795.72   	0.046        	0.006       
30     	573.53    	2.75     	570.79     	6139.68    	0.020        	0.000       
31     	332.09    	2.85     	329.24     	3483.43    	0.014        	0.000       
32     	177.30    	2.83     	174.48     	1888.68    	0.004        	0.000       
33     	101.98    	2.82     	99.15      	1085.09    	0.001        	0.000       
34     	73.93     	2.82     	71.11      	769.09     	0.000        	0.000       
35     	33.63     	2.76     	30.87      	344.33     	0.003        	0.000       
40     	4.81      	1.48     	3.33       	36.90      	0.000        	0.000       
45     	1.96      	0.89     	1.07       	11.27      	0.000        	0.000       
50     	1.38      	0.91     	0.47       	4.26       	0.000        	0.000       
55     	1.31      	1.03     	0.29       	2.18       	0.000        	0.000       
60     	1.28      	1.08     	0.20       	1.19       	0.000        	0.000       
65     	1.24      	1.07     	0.17       	0.83       	0.000        	0.000       
