m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	613.39    	4.28     	609.11     	10713.14   	0.990        	0.010       
06     	38.15     	3.08     	35.08      	563.44     	1.000        	0.000       
07     	1220.77   	3.68     	1217.09    	19982.36   	0.980        	0.020       
08     	1265.73   	2.73     	1263.00    	20535.55   	0.990        	0.010       
09     	1247.10   	2.46     	1244.65    	20074.97   	0.980        	0.020       
10     	1318.97   	2.56     	1316.41    	23091.62   	0.980        	0.020       
11     	2812.95   	2.51     	2810.44    	42330.11   	0.960        	0.030       
12     	2961.23   	2.53     	2958.70    	43536.06   	0.940        	0.030       
13     	2885.78   	2.44     	2883.35    	44445.96   	0.930        	0.040       
14     	3902.17   	2.33     	3899.84    	60728.94   	0.910        	0.050       
15     	5728.94   	2.37     	5726.57    	87753.86   	0.860        	0.060       
16     	3339.47   	2.98     	3336.50    	49035.23   	0.760        	0.020       
17     	3159.18   	3.86     	3155.32    	43439.25   	0.670        	0.030       
18     	4565.43   	3.76     	4561.67    	61665.24   	0.600        	0.010       
19     	2035.04   	4.82     	2030.23    	28265.49   	0.380        	0.000       
20     	1019.12   	3.83     	1015.29    	14215.41   	0.410        	0.000       
21     	217.38    	3.24     	214.14     	2774.99    	0.250        	0.000       
22     	499.01    	2.48     	496.53     	6522.45    	0.080        	0.000       
23     	91.05     	2.46     	88.59      	1143.43    	0.120        	0.000       
24     	62.12     	2.56     	59.55      	738.26     	0.040        	0.000       
25     	74.06     	2.54     	71.52      	886.81     	0.040        	0.000       
26     	26.84     	2.75     	24.09      	278.12     	0.020        	0.000       
27     	15.91     	2.66     	13.26      	154.27     	0.020        	0.000       
28     	16.88     	2.99     	13.89      	164.39     	0.010        	0.000       
29     	8.42      	3.38     	5.04       	52.43      	0.000        	0.000       
30     	8.02      	3.46     	4.56       	48.58      	0.000        	0.000       
31     	7.11      	3.00     	4.11       	42.43      	0.000        	0.000       
32     	5.27      	3.01     	2.26       	21.48      	0.000        	0.000       
33     	7.26      	4.52     	2.74       	23.72      	0.000        	0.000       
34     	4.50      	3.14     	1.36       	12.92      	0.000        	0.000       
35     	2.21      	1.32     	0.90       	8.44       	0.000        	0.000       
40     	2.73      	2.19     	0.54       	3.72       	0.000        	0.000       
45     	1.86      	1.63     	0.23       	1.29       	0.000        	0.000       
50     	1.38      	1.16     	0.22       	1.03       	0.000        	0.000       
