m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
02     	20.54     	1.44     	19.10      	125.97     	1.000        	0.000       
03     	21.24     	1.76     	19.48      	122.45     	1.000        	0.000       
04     	647.95    	1.80     	646.14     	4837.52    	0.990        	0.010       
05     	863.91    	1.90     	862.01     	5503.05    	0.990        	0.000       
06     	160.56    	1.85     	158.71     	934.94     	1.000        	0.000       
07     	586.04    	1.90     	584.14     	3522.64    	0.930        	0.000       
08     	447.12    	2.09     	445.02     	2576.44    	0.830        	0.000       
09     	194.36    	3.21     	191.15     	1011.03    	0.800        	0.000       
10     	167.85    	3.39     	164.46     	843.38     	0.560        	0.000       
11     	128.51    	2.93     	125.58     	644.02     	0.440        	0.000       
12     	74.24     	2.65     	71.60      	366.06     	0.280        	0.000       
13     	48.19     	2.02     	46.16      	227.11     	0.190        	0.000       
14     	28.98     	1.89     	27.09      	141.89     	0.130        	0.000       
15     	22.09     	2.75     	19.34      	91.71      	0.110        	0.000       
16     	17.01     	3.98     	13.02      	56.69      	0.030        	0.000       
17     	13.53     	4.11     	9.42       	40.98      	0.030        	0.000       
18     	8.00      	1.69     	6.31       	28.30      	0.050        	0.000       
19     	7.87      	2.96     	4.91       	19.96      	0.030        	0.000       
20     	8.10      	4.09     	4.01       	15.22      	0.010        	0.000       
21     	6.53      	4.00     	2.53       	9.41       	0.010        	0.000       
22     	3.68      	1.46     	2.22       	8.52       	0.020        	0.000       
23     	3.81      	2.11     	1.70       	5.67       	0.000        	0.000       
24     	2.81      	1.36     	1.45       	5.06       	0.020        	0.000       
