m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	1929.53   	1.93     	1927.60    	11457.14   	0.980        	0.020       
06     	9970.48   	2.23     	9968.25    	58056.25   	0.850        	0.150       
07     	4523.57   	2.32     	4521.25    	24724.72   	0.950        	0.050       
08     	7094.09   	2.24     	7091.86    	39548.74   	0.930        	0.070       
09     	8713.57   	2.20     	8711.38    	46423.51   	0.900        	0.100       
10     	9570.94   	2.23     	9568.71    	50463.65   	0.870        	0.130       
11     	9358.55   	2.24     	9356.31    	49214.14   	0.890        	0.110       
12     	12548.13  	2.27     	12545.85   	65309.62   	0.820        	0.180       
13     	17268.25  	2.47     	17265.78   	89846.12   	0.760        	0.240       
14     	15141.47  	2.25     	15139.22   	76299.10   	0.810        	0.190       
15     	18956.08  	2.21     	18953.86   	97459.02   	0.770        	0.220       
16     	21561.07  	2.21     	21558.87   	106592.51  	0.700        	0.300       
17     	29003.08  	2.19     	29000.89   	144705.01  	0.570        	0.390       
18     	24010.01  	2.21     	24007.80   	112974.15  	0.560        	0.320       
19     	27053.05  	2.21     	27050.83   	130596.78  	0.380        	0.300       
20     	21804.99  	2.21     	21802.78   	99868.45   	0.410        	0.200       
21     	14965.61  	2.21     	14963.40   	65358.20   	0.250        	0.070       
22     	7630.25   	1.51     	7628.74    	37500.20   	0.080        	0.040       
23     	4207.43   	1.23     	4206.20    	18476.64   	0.120        	0.000       
24     	2709.99   	1.12     	2708.87    	12196.10   	0.040        	0.000       
25     	2184.21   	1.13     	2183.08    	8860.18    	0.040        	0.010       
26     	622.98    	1.12     	621.86     	2536.11    	0.020        	0.000       
27     	489.13    	1.13     	488.00     	1874.91    	0.020        	0.000       
28     	263.50    	1.13     	262.38     	1080.08    	0.010        	0.000       
29     	126.21    	1.13     	125.08     	475.16     	0.000        	0.000       
30     	104.67    	1.12     	103.55     	383.69     	0.000        	0.000       
31     	65.85     	1.13     	64.72      	257.99     	0.000        	0.000       
32     	39.77     	1.12     	38.65      	139.20     	0.000        	0.000       
33     	36.70     	1.13     	35.57      	137.55     	0.000        	0.000       
34     	26.61     	1.12     	25.49      	91.66      	0.000        	0.000       
35     	15.16     	1.14     	14.02      	51.38      	0.000        	0.000       
40     	6.47      	1.13     	5.34       	18.28      	0.000        	0.000       
45     	3.21      	1.13     	2.08       	5.94       	0.000        	0.000       
50     	2.22      	1.13     	1.09       	3.08       	0.000        	0.000       
