time_overall_start	time_search_start	time_end	assignments	solution	timeout
2282395.51611	2282398.54109	2282402.65673	35	False	False
2282403.88715	2282406.8043	2282455.25553	420	False	False
2282456.6001	2282459.51032	2282472.67199	122	False	False
2282473.91355	2282476.85811	2282477.70751	4	False	False
2282478.9331	2282481.74664	2282561.49649	861	False	False
2282562.70582	2282565.50369	2282567.32416	15	False	False
2282568.44133	2282571.16149	2282573.37473	17	False	False
2282574.51448	2282577.25272	2282595.05774	172	False	False
2282596.27671	2282599.54175	2282634.81896	355	False	False
2282635.97467	2282638.68309	2282641.30416	23	False	False
2282642.42464	2282645.18125	2282676.42655	313	False	False
2282677.66901	2282680.37442	2282680.87743	3	False	False
2282681.94971	2282684.7265	2282690.95508	55	False	False
2282692.14393	2282694.82855	2282712.24231	174	False	False
2282713.45766	2282716.25313	2282722.61092	64	False	False
2282723.77236	2282726.47295	2282787.77682	632	False	False
2282788.93344	2282791.70029	2282981.323	1924	False	False
2282982.52088	2282985.20551	2282987.36092	19	False	False
2282988.5085	2282991.29583	2282993.34221	16	False	False
2282994.54461	2282997.31989	2283544.07279	6211	False	False
2283545.24176	2283548.06614	2283548.54686	3	False	False
2283549.63782	2283552.42184	2283552.64413	1	False	False
2283553.75195	2283556.42965	2283561.42661	46	False	False
2283562.54558	2283565.22779	2283565.94676	5	False	False
2283567.14103	2283570.07234	2283578.7753	82	False	False
2283579.93975	2283582.68161	2283583.97919	11	False	False
2283585.05388	2283587.87103	2283590.38457	20	False	False
2283591.55806	2283594.23395	2283595.35924	8	False	False
2283596.3999	2283599.19326	2283727.1121	1349	False	False
2283728.39583	2283731.09009	2283731.48015	2	False	False
2283732.5693	2283735.28073	2283736.21657	6	False	False
2283737.32048	2283739.98372	2284111.03611	4106	False	False
2284112.2337	2284114.94031	2284167.58669	565	False	False
2284168.75867	2284171.50655	2284172.12492	4	False	False
2284173.25232	2284175.93634	2284192.3486	153	False	False
2284193.54377	2284196.2308	2284197.57718	11	False	False
2284198.69043	2284201.4127	2284331.9981	1332	False	False
2284333.19568	2284335.93573	2284350.33655	139	False	False
2284351.50371	2284354.18623	2284363.56418	82	False	False
2284364.70725	2284367.47862	2284375.65628	78	False	False
2284376.85628	2284379.80927	2284385.58514	56	False	False
