m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	194.24    	1.27     	192.96     	3228.09    	0.998        	0.002       
06     	252.12    	1.28     	250.84     	4157.78    	0.998        	0.002       
07     	655.01    	1.95     	653.06     	10045.28   	0.992        	0.008       
08     	899.00    	1.29     	897.71     	13734.57   	0.990        	0.009       
09     	1071.62   	1.13     	1070.49    	16143.66   	0.987        	0.013       
10     	1890.05   	1.10     	1888.94    	27809.13   	0.976        	0.024       
11     	3402.59   	1.10     	3401.49    	50766.13   	0.958        	0.042       
12     	3749.97   	1.12     	3748.85    	54359.07   	0.949        	0.049       
13     	3320.00   	1.12     	3318.88    	47716.93   	0.957        	0.038       
14     	6004.68   	1.12     	6003.56    	83876.37   	0.908        	0.084       
15     	8121.41   	1.12     	8120.28    	112774.47  	0.882        	0.111       
16     	8972.56   	1.27     	8971.29    	121198.25  	0.856        	0.123       
17     	10769.28  	1.26     	10768.02   	142118.19  	0.826        	0.149       
18     	13370.30  	0.50     	13369.80   	170356.49  	0.774        	0.181       
19     	14874.81  	3.03     	14871.78   	189661.27  	0.730        	0.209       
20     	15989.63  	1.49     	15988.14   	200364.96  	0.685        	0.218       
21     	17091.37  	1.12     	17090.25   	215684.81  	0.624        	0.225       
22     	17196.40  	1.13     	17195.27   	213725.36  	0.547        	0.231       
23     	16251.81  	0.40     	16251.41   	196208.12  	0.492        	0.201       
24     	13160.46  	5.31     	13155.14   	161207.54  	0.399        	0.129       
25     	10403.03  	3.74     	10399.29   	122662.34  	0.301        	0.088       
26     	7135.01   	2.31     	7132.71    	81393.66   	0.197        	0.045       
27     	5005.00   	3.13     	5001.86    	59148.61   	0.109        	0.030       
28     	2875.20   	3.22     	2871.99    	34332.88   	0.072        	0.010       
29     	1303.00   	2.69     	1300.31    	15365.34   	0.046        	0.005       
30     	539.77    	2.79     	536.98     	6132.92    	0.020        	0.000       
31     	307.86    	2.85     	305.01     	3481.26    	0.014        	0.000       
32     	164.93    	2.84     	162.09     	1888.22    	0.004        	0.000       
33     	97.39     	2.84     	94.55      	1085.04    	0.001        	0.000       
34     	71.08     	2.81     	68.27      	766.14     	0.000        	0.000       
35     	33.24     	1.90     	31.33      	344.32     	0.003        	0.000       
40     	5.60      	1.79     	3.81       	36.90      	0.000        	0.000       
45     	2.20      	0.89     	1.31       	11.27      	0.000        	0.000       
50     	1.52      	0.93     	0.59       	4.26       	0.000        	0.000       
55     	1.28      	0.92     	0.36       	2.18       	0.000        	0.000       
60     	1.16      	0.91     	0.25       	1.19       	0.000        	0.000       
65     	1.15      	0.95     	0.21       	0.83       	0.000        	0.000       
