m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
02     	19.68     	2.30     	17.38      	132.03     	1.000        	0.000       
03     	17.96     	1.99     	15.97      	112.84     	1.000        	0.000       
04     	641.39    	1.67     	639.72     	5583.08    	0.990        	0.010       
05     	744.28    	1.26     	743.02     	5505.48    	0.990        	0.000       
06     	138.42    	0.27     	138.15     	933.54     	1.000        	0.000       
07     	502.65    	0.26     	502.39     	3528.26    	0.930        	0.000       
08     	387.61    	0.25     	387.36     	2582.39    	0.830        	0.000       
09     	165.11    	0.30     	164.81     	1011.83    	0.800        	0.000       
10     	138.40    	0.25     	138.16     	841.25     	0.560        	0.000       
11     	104.24    	0.25     	103.99     	644.60     	0.440        	0.000       
12     	60.39     	0.26     	60.12      	366.24     	0.280        	0.000       
13     	39.59     	0.26     	39.32      	227.49     	0.190        	0.000       
14     	22.95     	0.27     	22.68      	141.77     	0.130        	0.000       
15     	16.56     	0.28     	16.28      	91.79      	0.110        	0.000       
16     	10.87     	0.25     	10.62      	56.71      	0.030        	0.000       
17     	7.67      	0.25     	7.42       	40.98      	0.030        	0.000       
18     	5.64      	0.47     	5.17       	28.31      	0.050        	0.000       
19     	4.03      	0.27     	3.76       	19.97      	0.030        	0.000       
20     	3.16      	0.23     	2.93       	15.22      	0.010        	0.000       
21     	2.10      	0.27     	1.83       	9.43       	0.010        	0.000       
22     	1.97      	0.25     	1.71       	8.52       	0.020        	0.000       
23     	1.52      	0.26     	1.26       	5.67       	0.000        	0.000       
24     	1.26      	0.21     	1.05       	5.06       	0.020        	0.000       
