m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	612.85    	2.70     	610.15     	8538.62    	0.990        	0.010       
06     	43.80     	2.89     	40.91      	442.45     	1.000        	0.000       
07     	636.94    	2.51     	634.43     	6596.44    	0.990        	0.010       
08     	1672.37   	2.37     	1670.00    	17326.90   	0.980        	0.020       
09     	1408.29   	2.47     	1405.82    	16623.73   	0.980        	0.020       
10     	2511.80   	2.37     	2509.43    	30555.76   	0.970        	0.030       
11     	3618.15   	2.60     	3615.54    	40507.42   	0.940        	0.050       
12     	4373.36   	2.38     	4370.99    	49653.86   	0.930        	0.060       
13     	4309.06   	2.66     	4306.40    	46616.70   	0.930        	0.060       
14     	6012.59   	4.10     	6008.49    	65399.13   	0.910        	0.070       
15     	9084.75   	4.29     	9080.46    	95069.82   	0.820        	0.100       
16     	6602.69   	4.38     	6598.32    	67421.28   	0.750        	0.060       
17     	6139.92   	4.20     	6135.72    	64218.34   	0.670        	0.060       
18     	5510.48   	2.38     	5508.09    	61355.94   	0.600        	0.010       
19     	2825.33   	1.15     	2824.18    	30798.28   	0.380        	0.010       
20     	1717.49   	1.15     	1716.33    	18434.89   	0.410        	0.000       
21     	575.27    	1.13     	574.14     	5994.36    	0.250        	0.000       
22     	974.19    	1.13     	973.07     	10239.65   	0.080        	0.000       
23     	170.11    	1.13     	168.98     	1715.07    	0.120        	0.000       
24     	118.56    	1.14     	117.41     	1160.41    	0.040        	0.000       
25     	107.97    	1.18     	106.79     	1041.63    	0.040        	0.000       
26     	41.81     	1.13     	40.68      	377.80     	0.020        	0.000       
27     	19.27     	1.19     	18.08      	165.30     	0.020        	0.000       
28     	21.26     	1.19     	20.07      	180.99     	0.010        	0.000       
29     	7.87      	1.14     	6.74       	55.07      	0.000        	0.000       
30     	7.54      	1.22     	6.32       	53.00      	0.000        	0.000       
31     	8.02      	1.17     	6.85       	60.77      	0.000        	0.000       
32     	4.76      	1.19     	3.57       	28.82      	0.000        	0.000       
33     	4.58      	1.61     	2.97       	23.22      	0.000        	0.000       
34     	3.18      	1.25     	1.94       	14.42      	0.000        	0.000       
35     	2.64      	1.20     	1.44       	10.72      	0.000        	0.000       
40     	1.86      	1.22     	0.63       	3.93       	0.000        	0.000       
45     	1.51      	1.22     	0.29       	1.27       	0.000        	0.000       
50     	1.47      	1.21     	0.25       	0.95       	0.000        	0.000       
