m_value	total_time	init_time	search_time	assignments	solution_freq	timeout_freq
05     	79.70     	37.42    	42.28      	98.28      	1.000        	0.000       
06     	80.31     	40.59    	39.72      	94.42      	1.000        	0.000       
07     	82.69     	43.41    	39.28      	97.75      	1.000        	0.000       
08     	124.83    	46.22    	78.61      	256.35     	1.000        	0.000       
09     	86.97     	48.69    	38.28      	107.73     	1.000        	0.000       
10     	85.90     	51.30    	34.60      	92.19      	1.000        	0.000       
11     	171.54    	55.50    	116.04     	442.73     	1.000        	0.000       
12     	698.56    	57.67    	640.89     	2510.92    	0.990        	0.010       
13     	699.53    	60.06    	639.46     	2316.33    	0.990        	0.010       
14     	1769.83   	62.42    	1707.41    	7234.75    	0.970        	0.020       
15     	106.69    	64.38    	42.32      	138.88     	1.000        	0.000       
16     	2071.58   	66.10    	2005.49    	7610.60    	0.980        	0.020       
17     	2113.68   	68.20    	2045.49    	7427.50    	0.970        	0.020       
18     	481.70    	75.05    	406.64     	1496.63    	1.000        	0.000       
19     	546.74    	72.92    	473.83     	1398.53    	1.000        	0.000       
20     	1834.60   	75.09    	1759.51    	5952.64    	0.960        	0.020       
21     	3206.43   	77.23    	3129.21    	10474.40   	0.940        	0.050       
22     	4971.09   	78.36    	4892.73    	15304.96   	0.900        	0.070       
23     	3922.22   	78.08    	3844.14    	12526.10   	0.870        	0.050       
24     	3028.81   	79.85    	2948.96    	9885.59    	0.830        	0.040       
25     	3682.43   	79.80    	3602.63    	12444.14   	0.830        	0.050       
26     	2870.60   	82.60    	2788.00    	8876.21    	0.770        	0.020       
27     	4676.28   	80.27    	4596.02    	15187.60   	0.680        	0.060       
28     	2981.94   	95.22    	2886.72    	8362.76    	0.700        	0.030       
29     	3855.66   	97.17    	3758.49    	10675.24   	0.650        	0.050       
30     	3102.53   	101.39   	3001.14    	8235.19    	0.460        	0.010       
31     	477.34    	79.17    	398.17     	1159.35    	0.480        	0.000       
32     	350.65    	79.84    	270.82     	829.76     	0.300        	0.000       
33     	213.62    	78.95    	134.67     	376.55     	0.300        	0.000       
34     	180.41    	77.74    	102.68     	295.29     	0.190        	0.000       
35     	109.76    	77.96    	31.80      	87.27      	0.110        	0.000       
36     	109.84    	75.63    	34.20      	102.42     	0.090        	0.000       
37     	88.98     	75.05    	13.93      	38.30      	0.040        	0.000       
38     	81.51     	75.33    	6.17       	17.38      	0.030        	0.000       
39     	77.94     	72.20    	5.74       	15.97      	0.020        	0.000       
40     	72.39     	71.27    	1.12       	3.07       	0.010        	0.000       
41     	72.17     	71.35    	0.81       	2.33       	0.020        	0.000       
42     	71.40     	70.27    	1.13       	2.74       	0.000        	0.000       
43     	68.64     	68.44    	0.21       	0.37       	0.000        	0.000       
44     	67.12     	67.12    	0.00       	0.00       	0.000        	0.000       
45     	67.29     	67.29    	0.00       	0.00       	0.000        	0.000       
46     	66.41     	66.40    	0.00       	0.00       	0.000        	0.000       
47     	66.23     	66.23    	0.00       	0.00       	0.000        	0.000       
48     	64.27     	64.27    	0.00       	0.00       	0.000        	0.000       
49     	64.12     	64.12    	0.00       	0.00       	0.000        	0.000       
50     	62.60     	62.60    	0.00       	0.00       	0.000        	0.000       
51     	62.20     	62.20    	0.00       	0.00       	0.000        	0.000       
52     	60.87     	60.87    	0.00       	0.00       	0.000        	0.000       
53     	58.67     	58.67    	0.00       	0.00       	0.000        	0.000       
54     	58.59     	58.59    	0.00       	0.00       	0.000        	0.000       
55     	58.34     	58.34    	0.00       	0.00       	0.000        	0.000       
56     	59.13     	59.13    	0.00       	0.00       	0.000        	0.000       
57     	56.70     	56.70    	0.00       	0.00       	0.000        	0.000       
58     	57.40     	57.40    	0.00       	0.00       	0.000        	0.000       
59     	55.12     	55.12    	0.00       	0.00       	0.000        	0.000       
60     	55.49     	55.49    	0.00       	0.00       	0.000        	0.000       
65     	50.15     	50.15    	0.00       	0.00       	0.000        	0.000       
70     	47.17     	47.17    	0.00       	0.00       	0.000        	0.000       
